CONTEST_CODE;INDICATOR_CALC_TYPE;INDICATOR_ADD_CALC_TYPE;FULL_NAME;INDICATOR_CODE;INDICATOR_AGG_FUNCTION;INDICATOR_WEIGHT;INDICATOR_OBJECT;INDICATOR_MARK_TYPE;INDICATOR_MATCH;INDICATOR_VALUE;CONTEST_CRITERION;INDICATOR_FILTER;CONTESTANT_SELECTION;CALC_TYPE;N
01_2025-0_00-2_1;1;;WAIT;WAIT;;;;RATING;MIN;0;;;;1;1
01_2025-0_00-2_2;1;;WAIT;WAIT;;;;RATING;MIN;0;;;;1;2
01_2025-0_01-3_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;3
04_2025-0_01-3_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;294
01_2025-0_01-4_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;4
01_2025-0_01-4_2;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;5
01_2025-0_01-4_3;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;6
01_2025-0_01-5_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;7
01_2025-0_01-9_1;1;;WAIT;WAIT;;;;CRITERION;=;3;;;;1;8
01_2025-0_01-9_2;1;;WAIT;WAIT;;;;CRITERION;=;2;;;;1;9
01_2025-0_01-9_3;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;10
01_2025-0_03-2-1;1;;EFFICIENCYARSKKSB_EFF;EFFICIENCYARSKKSB_EFF;SUM;1;;RATING;MAX;1;;;0;0;11
01_2025-0_03-2-2;1;;EFFICIENCYARSKKSB_OD_YEAR_GROWTH;EFFICIENCYARSKKSB_OD_YEAR_GROWTH;SUM;1;;RATING;MAX;1;;;0;0;12
01_2025-0_03-2-3;1;;EFFICIENCYARSKKSB_OD_YEAR_GROWTH;EFFICIENCYARSKKSB_OD_YEAR_GROWTH;SUM;1;;RATING;MAX;1;;;0;0;13
01_2025-0_03-2-4;1;;EFFICIENCYARSKKSB_OD_YEAR_TEMP;EFFICIENCYARSKKSB_OD_YEAR_TEMP;SUM;1;;RATING;MAX;1;;;0;0;14
01_2025-0_03-2-5;1;;EFFICIENCYARSKKSB_OD_YEAR_TEMP;EFFICIENCYARSKKSB_OD_YEAR_TEMP;SUM;1;;RATING;MAX;1;;;0;0;15
01_2025-0_03-2-6;1;;EFFICIENCYARSKKSB_OD_YEAR_TEMP;EFFICIENCYARSKKSB_OD_YEAR_TEMP;SUM;1;;RATING;MAX;1;;;0;0;16
01_2025-0_03-2-7;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;17
01_2025-0_05-1_1;1;;WAIT;WAIT;;;;CRITERION;=;3;;;;1;18
01_2025-0_05-1_2;1;;WAIT;WAIT;;;;CRITERION;=;4;;;;1;19
01_2025-0_05-1_3;1;;WAIT;WAIT;;;;CRITERION;=;5;;;;1;20
01_2025-0_08-2_3;1;;WAIT;WAIT;;;;CRITERION;>=;500000;;;;1;21
01_2025-0_08-2_4;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;22
01_2025-0_08-2_5;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;23
01_2025-0_08-5_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;24
01_2025-0_08-6_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;25
01_2025-0_10-1_1;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;100000;;;;0;26
01_2025-0_10-1_2;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;500000;;;;0;27
01_2025-0_10-1_3;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;3000000;;;;0;28
01_2025-0_10-1_4;1;;INCOME;INCOME;SUM;1;;CRITERION;>=;10000000;;;;0;29
01_2025-0_10-2_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;30
01_2025-0_10-3_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;31
01_2025-0_10-3_2;1;;WAIT;WAIT;;;;CRITERION;>=;5;;;;1;32
01_2025-0_10-3_3;1;;WAIT;WAIT;;;;CRITERION;>=;10;;;;1;33
01_2025-0_10-5_1;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;34
01_2025-0_10-5_2;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;35
01_2025-0_10-5_3;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;36
01_2025-0_10-5_4;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;37
01_2025-0_10-5_5;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;38
01_2025-0_10-5_6;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;39
01_2025-0_10-5_7;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;40
01_2025-0_10-5_8;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;41
01_2025-0_10-5_9;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;42
01_2025-0_11-1_1;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;43
01_2025-0_12-1_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;44
01_2025-0_13-1_1;1;;PFIMIS_CUSTOMER_ID;PFIMIS_CUSTOMER_ID;COUNT_DISTINCT;1;;CRITERION;>=;1;;"[{"""filtered_attribute_code""":"""segment""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""20201""","""10100""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""tb""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""NOT_IN""","""filtered_attribute_condition""":["""99"""]},{"""filtered_attribute_code""":"""is_manual_correct""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""is_cva_product""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""product_group""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""1""","""2""","""14""","""8"""]}]";;0;45
